排    行    榜 -- 最近期,,,,,,,,,,
,,,,,,,,,,
,市場別,證期會,TEJ 產業別,交易所,會計,統一編號,國際證券,集團名,公司中文簡稱,公司英文簡稱
,,代碼,,產業別,月份,,編號,,,
,,,,,,,,,,
1232       大統益,TSE,,12,2,12,ID 20927014,TW0001232007,1216  統一集團,大統益,TTET Union
1233       天仁,TSE,,12,2,12,ID 18559415,TW0001233005,1233  天仁茶葉,天仁,Ten Ren Tea
1234       黑松,TSE,,12,2,12,ID 20651901,TW0001234003,1234  黑松集團,黑松,Hey-Song
1235       興泰,TSE,,12,2,12,ID 85617982,TW0001235000,1235  興泰,興泰,Shin Tai
1236       宏亞,TSE,,12,2,12,ID 34106066,TW0001236008,1236  宏亞,宏亞,Hunya Foods
1237       台糖,PUB,,12,2,12,ID 03794905,TW0001237006,Z142  經濟部,台糖,Taiwan Sugar Corp.
1238       正義,UNPUB,,12,2,12,ID 83728956,TW0001238004,12844 頂新國際集團,正義,Ching I Food
1239       味丹,UNPUB,,12,2,12,ID 56121907,TW0001239002,1239  味丹集團,味丹,Vedan
1242       新東陽,PUB,,12,2,12,ID 15319335,TW0001242006,1242  新東陽集團,新東陽,Hsin Tung Yang
1244       維力食品,UNPUB,,12,2,12,ID 59869913,TW0001244002,1216  統一集團,維力食品,Wei Lih　
1245       禾榮產業,UNPUB,,12,2,12,ID 12396724,TW0001245009,1220  台榮集團,禾榮產業,Ho Roun Products
1246       中聯油脂,PUB,,12,2,12,ID 89480404,TW0001246007,1225  福懋油脂集團,中聯油脂,Central Unon Oild
1249       嘉豐海洋國際,UNPUB,,12,2,12,ID 75915054,TW0001249001,1249  嘉豐海洋,嘉豐海洋國際,Gallant Ocean
1256       F-鮮活,OTC,,12,2,12,ID 37759808,KYG858681003,1256  鮮活,F-鮮活,Sunjuice
1257       茱莉國際,UNPUB,,12,,12,ID 26398531,,無,茱莉國際,Julie's Int'l
1258       F-其祥,OTC,,12,2,12,ID 53028230,KYG522401010,1258  其祥,F-其祥,Kee Song
1259       安心,OTC,,27,16,12,ID 23928945,TW0001259000,1504  東元電機集團,安心,An-Shin
1260       富味鄉,ROTC,,12,2,12,ID 12467902,TW0001260008,1260  富味鄉,富味鄉,Flavor
1261       F-華福,UNPUB,,12,,12,ID 1261,,1261  華福,F-華福,Huafu
1262       F-綠悅,TSE,,99,20,12,ID 38490560,KYG409711069,1262  綠悅,F-綠悅,Green Seal
1264       德麥,OTC,,12,2,12,ID 23420497,TW0001264000,1264  德麥,德麥,Tehmag
1267       京華堂,PUB,,12,2,12,ID 84478111,TW0001267003,無,京華堂,GNT
1268       漢美,ROTC,,12,2,12,ID 80352343,TW0001268001,2505  國揚集團,漢美,Hi-Lai Foods
1301       台塑,TSE,,13,3,12,ID 75708007,TW0001301000,1301  台塑集團,台塑,Formosa Plastics
1303       南亞,TSE,,13,3,12,ID 75370905,TW0001303006,1301  台塑集團,南亞,Nan Ya Plastics
1304       台聚,TSE,,13,3,12,ID 11917107,TW0001304004,1304  台聚集團,台聚,USI Corp.
1305       華夏,TSE,,13,3,12,ID 11686106,TW0001305001,1304  台聚集團,華夏,China General
1306       合發,UNPUB,,13,3,12,ID 04384112,TW0001306009,1306  合發集團,合發,Union Leather
1307       三芳,TSE,,13,3,12,ID 83387850,TW0001307007,1307  三芳,三芳,San Fang Chemical
1308       亞聚,TSE,,13,3,12,ID 20747385,TW0001308005,1304  台聚集團,亞聚,Asia Polymer
1309       台達化,TSE,,13,3,12,ID 11893409,TW0001309003,1304  台聚集團,台達化,Taita Chemical
1310       台苯,TSE,,13,3,12,ID 20844865,TW0001310001,5483  孫鐵漢集團,台苯,T.S.M.C.
1311       Ｄ福聚,UNPUB,,13,3,12,ID 04689368,TW0001311009,1704  李長榮集團,Ｄ福聚,Taiwan Polypropylene
1312       國喬,TSE,,13,3,12,ID 04212250,TW0001312007,2891  中信集團,國喬,Grand Pacific Petro
1313       聯成,TSE,,13,3,12,ID 04748660,TW0001313005,1229  聯華神通集團,聯成,UPC Technology
1314       中石化,TSE,,13,3,12,ID 03084741,TW0001314003,1314  威京集團,中石化,China Petrochem
1315       達新,TSE,,13,3,12,ID 51059101,TW0001315000,1315  達新,達新,Tah Hsin
1316       上曜,TSE,,17,21,12,ID 73654033,TW0001316008,1316A 啟航投資集團,上曜,Sun Yad
1319       東陽,TSE,,13,3,12,ID 68326665,TW0001319002,1319  東陽事業集團,東陽,OTN
1321       大洋,TSE,,13,3,12,ID 15024509,TW0001321008,1321  大洋集團,大洋,Ocean Plastics
1323       永裕,TSE,,13,3,12,ID 68192103,TW0001323004,1323  永裕,永裕,Yon Yu Plastics
1324       地球,TSE,,13,3,12,ID 07147916,TW0001324002,1324  地球,地球,Globe Tape
1325       恒大,TSE,,13,3,12,ID 11455800,TW0001325009,2370  恆大集團,恒大,Universal Inc.
1326       台化,TSE,,13,3,12,ID 58650902,TW0001326007,1301  台塑集團,台化,Formosa Chem & Fibre
1328       中油,PUB,,13,3,12,ID 03707901,TW0001328003,Z142  經濟部,中油,CPC
1333       恩得利,OTC,,23,28,12,ID 84584513,TW0001333003,1333  恩得利,恩得利,Entery
1336       台翰,OTC,,23,28,12,ID 22589593,TW0001336006,1336  台翰,台翰,Taihan Precision
1337       F-再生,TSE,,13,3,12,ID 26068617,KYG0539R1039,1337  三斯達,F-再生,Asia Plastic
1338       F-廣華,TSE,,22,12,12,ID 26594386,KYG451001070,1338  廣華,F-廣華,Hiroca
1339       昭輝,TSE,,13,3,12,ID 22078327,TW0001339000,1339  昭輝實業,昭輝,Y.C.C. Parts
1340       F-勝悅,TSE,,13,3,12,ID 37722768,KYG935971054,1340  F-勝悅,F-勝悅,Victory
1402       遠東新,TSE,,14,4,12,ID 03522600,TW0001402006,1402  遠東集團,遠東新,FENC
1405       大明化學纖維,UNPUB,140657,14,4,12,ID 07017815,TW000140500,無,大明化學纖維,Ta Ming Chemical
1407       華隆,UNPUB,,14,4,12,ID 07406808,TW0001407005,1407  華隆集團,華隆,Hualon
1408       中紡,PUB,,14,4,12,ID 35082604,TW0001408003,1408  中興紡織集團,中紡,Chung Shing Textile
1409       新纖,TSE,,14,4,12,ID 07435515,TW0001409001,1409  新光集團,新纖,Shinkong Synthetic
1410       南染,TSE,,14,4,12,ID 35286207,TW0001410009,1410  南洋染整集團,南染,Nan Yang D&F
1413       宏洲,TSE,,14,4,12,ID 07220710,TW0001413003,1457  宜進集團,宏洲,H.C.
1414       東和,TSE,,14,4,12,ID 73141105,TW0001414001,1414  東和紡織集團,東和,Tung Ho Textile
1416       廣豐,TSE,,14,4,12,ID 43434316,TW0001416006,1416  廣豐實業集團,廣豐,Kwong Fong
1417       嘉裕,TSE,,14,4,12,ID 11825825,TW0001417004,2201  裕隆集團,嘉裕,Carnival
1418       東華,TSE,,14,4,12,ID 11083148,TW0001418002,1418  東華,東華,Tong-Hwa
1419       新紡,TSE,,14,4,12,ID 07435901,TW0001419000,1409  新光集團,新紡,Shinko.Textile
1423       利華,TSE,,14,4,12,ID 11311608,TW0001423002,1423  利華集團,利華,Reward Wool
1424       新東,UNPUB,141281,14,4,12,ID 58550903,,無,新東,New East Textile
1425       福昌,UNPUB,142122,14,4,12,ID 03517212,TW0001425008,無,福昌,Lucky Textile Ind.
1427       鴻通,UNPUB,,14,4,12,ID AAAA1427,,無,鴻通,Hung Tung
1429       新奇,UNPUB,140892,14,4,12,ID 43366844,,1431  新燕集團,新奇,Shine Chin Wool
1431       新燕,UNPUB,143640,14,4,12,ID 07487111,TW0001431005,1431  新燕集團,新燕,Shin Yen Textile
1432       大魯閣,TSE,,14,4,12,ID 04690983,TW0001432003,X0348 三功投資集團,大魯閣,Taroko
1434       福懋,TSE,,14,4,12,ID 14001199,TW0001434009,1301  台塑集團,福懋,Formosa Taffeta
1435       中福,TSE,,99,20,12,ID 03101946,TW0001435006,1435  中福,中福,C.F.CORP.
1436       華友聯,TSE,,25,14,12,ID 07510318,TW0001436004,2559  華友聯建設,華友聯,HUA YU LIEN
1437       勤益控,TSE,,23,24,12,ID 35535607,TW0001437002,1437  勤益,勤益控,GTM
1438       裕豐,TSE,,25,14,12,ID 03561011,TW0001438000,1438  裕豐,裕豐,Yu Foong
1439       中和,TSE,,14,4,12,ID 11113403,TW0001439008,1439  中和,中和,Chuwa Wool
1440       南紡,TSE,,14,4,12,ID 68919301,TW0001440006,1440  台南幫集團,南紡,Tainan Spinning
1441       大東,TSE,,14,4,12,ID 51037304,TW0001441004,1441  大東紡織集團,大東,Tah Tong Textile
1442       名軒,TSE,,25,14,12,ID 04615057,TW0001442002,25691 麗寶建設集團,名軒,Advancetek Ent.
1443       立益,TSE,,14,4,12,ID 04287483,TW0001443000,1443  立益紡織集團,立益,Lily Textile
1444       力麗,TSE,,14,4,12,ID 07663290,TW0001444008,1444  力麗集團,力麗,Lealea
1445       大宇,TSE,,14,4,12,ID 07015014,TW0001445005,1445  大宇台富集團,大宇,Universal Textile
1446       宏和,TSE,,14,4,12,ID 73641170,TW0001446003,M1510 國華琺瑯集團,宏和,Hong Ho Precision
1447       力鵬,TSE,,14,4,12,ID 33955322,TW0001447001,1444  力麗集團,力鵬,Li Peng
1449       佳和,TSE,,14,4,12,ID 72055019,TW0001449007,1449  佳和集團,佳和,Chia Her
1450       新藝,UNPUB,,14,4,12,ID 72055572,TW0001450005,1450  新藝,新藝,Shin Yih Fiber
1451       年興,TSE,,14,4,12,ID 22266307,TW0001451003,1451  年興集團,年興,Nien Hsing Textile
1452       宏益,TSE,,14,4,12,ID 43121481,TW0001452001,1452  宏益纖維集團,宏益,Hong Yi Fiber
1453       大將,TSE,,14,4,12,ID 07617901,TW0001453009,1453  大將,大將,Ta Jiang
1454       台富,TSE,,14,4,12,ID 04301794,TW0001454007,1445  大宇台富集團,台富,Taiwan Taffeta
1455       集盛,TSE,,14,4,12,ID 43295237,TW0001455004,1443  立益紡織集團,集盛,Zig Sheng
1456       怡華,TSE,,14,4,12,ID 33144175,TW0001456002,1456A 元邦建設,怡華,I-Hwa Industrial
1457       宜進,TSE,,14,4,12,ID 07669338,TW0001457000,1457  宜進集團,宜進,Yi Jinn
1458       嘉畜,UNPUB,,14,80,12,ID 04379928,TW0001458008,1407  華隆集團,嘉畜,Chia Hsin Livestock
1459       聯發,TSE,,14,4,12,ID 33653494,TW0001459006,1459  聯發集團,聯發,Lan Fa Textile
1460       宏遠,TSE,,14,4,12,ID 22817999,TW0001460004,1402  遠東集團,宏遠,Everest Textile
1462       東雲,UNPUB,,14,4,12,ID 72065570,TW0001462000,1462  東帝士集團,東雲,Tuntex Distinct
1463       強盛,TSE,,14,4,12,ID 07715023,TW0001463008,1443  立益紡織集團,強盛,Chyang Sheng
1464       得力,TSE,,14,4,12,ID 73686632,TW0001464006,1464  得力集團,得力,De Licacy
1465       偉全,TSE,,14,4,12,ID 33700601,TW0001465003,1465  偉全,偉全,Wisher
1466       聚隆,TSE,,14,4,12,ID 22976047,TW0001466001,1466  聚隆集團,聚隆,Acelon
1467       南緯,TSE,,14,4,12,ID 69559487,TW0001467009,1467  南緯集團,南緯,Tex-Ray
1468       昶和,TSE,,14,4,12,ID 36123364,TW0001468007,1468  昶和,昶和,Chang Ho Fibre
1469       理隆,TSE,,14,4,12,ID 01175920,TW0001469005,1469  理隆纖維,理隆,Lilontex
1470       大統染,TSE,,14,4,12,ID 22267777,TW0001470003,1459  聯發集團,大統染,Evertex
1471       首利,TSE,,23,28,12,ID 07699023,TW0001471001,1471  首利集團,首利,Solytech
1472       三洋紡,TSE,,14,4,12,ID 07029919,TW0001472009,1472  三洋紡織纖維,三洋紡,Tri Ocean Textile
1473       台南,TSE,,14,4,12,ID 68919702,TW0001473007,1473  台南企業集團,台南,Tainan Enterprises
1474       弘裕,TSE,,14,4,12,ID 58003997,TW0001474005,1474  弘裕,弘裕,Honmyue Ent.
1475       本盟,TSE,,14,4,12,ID 23912057,TW0001475002,2323  中環集團,本盟,Sumagh
1476       儒鴻,TSE,,14,4,12,ID 35884479,TW0001476000,1476  儒鴻集團,儒鴻,Eclat Textile
1477       聚陽,TSE,,14,4,12,ID 23609668,TW0001477008,1477  聚陽,聚陽,Makalot
1480       東盟開發,PUB,,14,4,12,ID 88121697,TW0001480002,1462  東帝士集團,東盟開發,Tung Mung Dev.
1484       東展興業,UNPUB,,14,4,12,ID 22956176,TW0001484004,17994 台化合成集團,東展興業,Tuntex Petrochemical
1489       日南紡織,PUB,,14,4,12,ID 56039219,TW0001489003,1489  日南紡織,日南紡織,Southern Textile
1490       全日美,UNPUB,,14,4,12,ID 22192869,TW0001490001,1490  全日美實業,全日美,Everheauty Corp.
1491       東榮工,UNPUB,,14,4,12,ID 69250869,TW0001491009,1491  東榮工,東榮工,Tung Zong Textile
1492       展群新,UNPUB,,14,4,12,ID 59034174,TW0001492007,無,展群新,ZCNT
1498       強冠,UNPUB,,12,2,12,ID 22965739,TW0001498004,1498  強冠,強冠,C.G.
1501       台機,UNPUB,151423,15,5,12,ID 79632705,TWU001423003,Z142  經濟部,台機,Taiwan Machinery
1503       士電,TSE,,15,5,12,ID 11039306,TW0001503001,1503  仰德集團,士電,Shihlin Electric
1504       東元,TSE,,15,5,12,ID 11332202,TW0001504009,1504  東元電機集團,東元,Teco
1505       楊鐵,UNPUB,153354,15,5,12,ID 57169180,TW0001505008,25893 新偕中集團,楊鐵,Yang Iron
1506       正道,TSE,,15,5,12,ID 68193807,TW0001506004,1506B 采金投資,正道,Right Way
1507       永大,TSE,,15,5,12,ID 11166702,TW0001507002,1507  永大機電集團,永大,Yungtay
